1§zurück zu Windows|Das Programm wird beendet
389§orthografisch|Darstellung in orthografischer Projektion
390§Kavraiskii|Darstellung in Kavraiskii-Projektion
391§durchgezogen|Grosskreise werden durchgezogen gezeichnet.
392§gestrichelt|Grosskreise werden gestrichelt gezeichnet.
393§strichpunktiert|Grosskreise werden strichpunktiert gezeichnet.
394§punktiert|Grosskreise werden punktiert gezeichnet.
395§Sektorengrenzen|Darstellung mit Sektorengrenzen
396§Sektorenmitten|Darstellung mit Sektorenmitten
397§gleitend|Darstellung mit gleitenden Sektorengrenzen
398§Konfidenz 90%|Der Schwerpunktvektor liegt mit 90% Sicherheit im Vertauenskegel.
399§Konfidenz 95%|Der Schwerpunktvektor liegt mit 95% sicherheit im Vertrauenskegel.
400§Konfidenz 99%|Der Schwerpunktvektor liegt mit 99% Sicherheit im Vertrauenskegel.
401§Farbe der Eigenvektoren|Wählen Sie die Farbe für Eigenvektoren und Schwerpunktvektor.
402§Farbe des Öffnungsgrades|Wählen Sie die Farbe für den Kleinkreis der Öffnungsgrades.
403§Farbe des Vertrauenskegels|Wählen Sie die Farbe für den Kleinkreis des Vertrauenskegels.
404§Drucken der Liste|Daten und statistische Parameter drucken.
405§Vielfache der Gleichverteilung|automatische Abstufung der Isolinien in Vielfachen der Gleichverteilung
406§manuell|manuelle Wahl der Abstufung der Isolinien
407§Grauwerte|Konturierung in Grauwerten
408§Farbe|farbige Konturierung
409§Farbe der Datenpunkte|Wählen Sie Die Farbe für die Datenpunkte.
410§Farbe des Öffnungsgrades (Obergruppen)|Wählen Sie die Farbe für den Kleinkreis des Öffnungsgrades der Obergruppen.
411§Farbe des Vertrauenskegels (Obergruppen)|Wählen Sie die Farbe für den Klenkreis des Vertrauenkegels der Obergruppen.
412§Farbe der Hauptnormalspannungen|Wählen Sie die Farbe für die Hauptnormalspannungen.
413§Anklicken der Hauptnormalspannungen|
414§slip lines|Zeichne Trajektorien der Gleitrichtungen
415§Farbe der oberen Slip Lines|Farbe der Slip Lines für den max. geschätzten Formfaktor
416§Farbe der unteren Slip Lines| Farbe der Slip Lines für den min. geschätzten Formfaktor
417§Farbe der Pfeile|Farbe der Striemungspfeile
418§Farbe der Punkte|Farbe der Harnischflächen-Pole
419§Farbe der theoretischen Punkte|Wählen Sie die Farbe für errechneten Punkte für R= 0.1..1.0;
420§Farbe des gemessenen Punktes|Wählen Sie die Farbe für den gemessenen Punkt.
421§Farbe des Kreise|Wählen Sie die Farbe für Groß- und Kleinkreise
422§Farbe des Äquators|Wählen Sie die Farbe für den Äquator
423§Drucken|Erzeugte Daten drucken
424§drehen|Die Umbiegungspunkte werden auf eine horizontale Linie gebracht.
425§Vergenz rückgängig|Durch Rückscherung wird eine Vergenz eliminiert.
426§*.BMP-Datei|Grafik als *.bmp-Datei speichern.
427§*.JPG-Datei|Grafik als *.jpg-Datei speichern.
428§durchgezogen|Linie wird durchgezogen gezeichnet.
429§gestrichelt|Linie wird gestrichelt gezeichnet.
430§strichpunktiert|Linie wird strichpunktiert gezeichnet.
431§punktiert|Linie wird punktiert gezeichnet.
432§90° rechts|Drehen der rafik um 90° nach rechts
433§90° links|Drehen der Grafik um 90° nach links
434§180°|Drehen der Grafik um 180°
435§Farbe der konsruierten Ellipse|Farbe der Peripherie der konstruierten Strain-Ellipse
436§Farbe der Ellipse|Farbe der fläche der Strain-Ellipse
437§plotten|Vektorgraphik mit dem Drucker plotten.
438§*.PLT-Datei|Vektorgrafik in eine *.PLT-Datei schreiben.
439§*.DXF|Vektorgrafik in eine *.DXF-Datei schreiben.
440§Farbe der Peripherie|Wählen Sie die Farbe der Peripherie des Diagramms.
441§Farbe des Diagramms|Wählen Sie die Füllfarbe des Diagramms.
442§Farbe des Rahmens|Wählen Sie die Farbe des Rahmens der Graphik.
443§Farbe des Hintergrunds|Wählen Sie die Farbe des Hintergrunds der Grafik.
444§Farbe der Koordinaten|Wählen Sie die Farbe für die Koordinaten des Diagramms.
445§Farbe der Kompressionsdaten|Wählen Sie die Farbe für die Darstellung der Kompressionsdaten.
446§Farbe der Dehnungsdaten|Wählen Sie die Farbe für die Darstellung der Dehnungsdaten.
447§Farbe der Achsen|Wählen Sie die Farbe Ellipsen-Achsen.
448§Farbe der Ellipse|Wählen Sie die Farbe für die Ellipse.
449§Flinn-Diagramm|Wählen Sie die Farbe für den Punkt im Flinn-Diagramm.
450§Maximum Resolved Shear Stresses|Berechnung der theoretischen Striemungsrichtung
451§Grafik speichern|Grafik als *.bmp-Datei speichern.
452§Grafik speichern|Grafik als *.jpg-Datei speichern.
453§Polygone|Datei laden, die Polygon-Daten enthält.
454§Beginn der Dateneingabe|Bild importieren und Polygonpunkte anklicken.
455§letztes Polygon fertig?|Abschluss der Digitalisierung
456§neues Formular|Formular mit den Ergebnissen öffnen.
457§voriges Formular|Zurück zum Hauptformular 'projektionsmethode'.
458$Füllfarbe|Farbe der Polygone
459§Neuer Mittelpunkt|einen Punkt als Mittelpunkt einer Rotation definieren
460§Horizontieren|Wendelinie horizontal ausrichten
461§Farbe|Farbe der Isogonen
462§Literatur|Zeigt die in Fabric8 zitierte Literatur an.
463§Strichstärke|wählen Sie die Strichstärke in Pixeln aus.
464§Skalierung|Peripherie mit einer Winkel-Skala versehen
465§Netzprojektionen|Zeichnet Netzentwürfe in verschiedenen Projektionen
466§Zählkreise|Zeichnet Raster mit Zählkreisen in verschiedenen Projektionen
467§Farbe der Zählkreise|Die Farbe der Zählkreise kann geändert werden
468§Abstand der Rasterpunkte|Änderung des Zählrasters
469§Zählkalotte|Änderung der Kalottengrösse
470§Rtf-Datei|In einer Word.rtf-Datei speichern
471§Clar-Kompass|Daten als Fallrichtung und Fallwinkel gemessen
472§Brunton-Kompass|Daten als Streichrichtung, Fallwinkel und Fallrichtung (N oder S) eingeben.
473§Flächennormale anklicken|Azimut und Fallwinkel der Fläche werden berechnet
474§Numerierung|Nummer der Gruppe
475§Anzahl|Anzahl der Daten in der Gruppe
476§Regelung|Prozentualer Regelungsgrad
477§Konzentration|Konzentrations-Parameter
478§Vertrauenskegel|Öffnungswinkel des Vertrauenskegels
479§sphärische Apertur|Sphärischer Öffnungsgrad
480§zirkulare Apertur|zirkularer Öffnungsgrad
481§Zylindrizität|Güte einer Großkreis-Verteilung
482§Schwerpunkt|Richtung des Summenvektors
483§im Uhrzeigersinn|Isogonen im Uhrzeigersinn zeichnen.
484§gegen Uhrzeigersinn|Isogonen gegen den Uhrzeigersinn zeichnen.
485§keine Korrektur|keine Rotation oder Translation durchführen.
486§Farbe|Farbe der Lineationen
487§speichern|Azimute und Längen der Lineationen speichern.
488§rotieren|Nordrichtuns senkrecht nach oben drehen.
489§keine Korrektur|Nordrichtung ist bereits senkrecht nach oben.
490§aus einer Karte|Meßßpunkte sind bereits in eine Karte eingetragen.
491§Längen- und Breitengrade (dd°mm.mmm')|Geographisch Koordinaten.
492§Gauss-Krüger-Koordinaten|Kartennetz in Gauss-Krüger-Koordinaten angeben.
493§NW-Sektor|Nördliche Breite, westliche Länge
494§NE-Sektor|Nördliche Breite, östliche Länge
495§SW-Sektor|Südliche Breite, westliche Länge
496§SE-Sektor|Südliche Breite, östliche Länge
497§Farbe der Karte|Hintergrundfarbe der Karte
498§Länge|Länge der Symbole
499§Farbe|Farbe der Symbole
500§Rückseite|Meßpunkte sind auf der Rückseite der Karte markiert.
501§Vorderseite|Meßpunkte sind auf der Vorderseite der Karte markiert.
502§Farbe der Punkte|Farbe der Datenpunkte
503§Längen und Breitengrade (dd°mm'ss.s')>Geographische Koordinaten
504§UTM|UTM-Koordinaten
505§Drucker einrichten|Druckereigenschaften festlegen.
506§Datenpunkte|Zur Darstellung der Datenpunkte springen.
507§Isolinien|Zur Isolinien-Darstellung springen.
508§Submaxima|Zur signifikanten Trennung der Sumaxima springen.
509§Statistik|Zur Statistik von Richtungsdaten springen.
510§Richtungsrose|Zum Plot einer Richtungsrose springen.
511§Grosskreise|Zum Plot von Großkreisen springen.
512§Versatzdaten|Zum Plot der Versatzdaten springen.
513§Formfaktor|Zur Bestimmung des Formfaktors springen.
514§Hoeppener-Diagramm|Zum Plot eines Hoeppener-Diagramms springen.
515§Dieder|Zum Plot eines Dieder-Diagramms springen.
516§Vollmer-Diagramm|Zum Plot eines Vollmer-Diagramms springen.
517§Woodcock-Diagramm|Zum Plot eines Woodcock-Diagramms springen.
518§Signifikanz|Zum Signifikanz-Test springen.
519§Flächenpole|Zum Plot der Flächenpole springen.
520§Pixelgraphik in Stufen|Konturierung entspricht der Mellis-Methode
521§Pixelgraphik fließend|Konturierung entspricht der Mellis-Methode
522§Einen Punkt anklicken|Azimut und Fallwinkel des angeklickten Punktes werden angezeigt.
523§Farbe der Punkte|Farbe der Punkte festlegen, die angezeigt werden sollen.
524§Pole plotten|Pole zu den Großkreisen zeichnen.
525§Pole nicht plotten|Pole zu Großkreisen nicht plotten.
526§Strich-Punkt-Punkt|Linie wird mit Strich-Punkt-Punkt gezeichnet.
527§Keine Beschriftung|Winkel-Skala entfernen
528§Im Uhrzeigersinn|Diagramm im Uhrzeigersinn beschriften.
529§Gegen Uhrzeigersinn|Diagramm gegen den Uhrzeigersinn beschriften.
530§Slip Lines|Slip Lines zeichnen.
531§Große Punkte|Große Punkte zeichnen.
532§Kleine Punkte|Kleine Punkte zeichnen.
533§Schwerpunkte speichern|Schwerpunkte der Polygone speichern.
534§Tektonische Symbole|Tektonische Symbole in die Karte eintragen.
535§Aufschlüsse|Aufschlußpunkte in die Karte eintragen.
536§Kartenbegrenzung verschieben|Kartenausschnitt durch verschieben der Ränder ändern.
537§Karte ausschneiden|Kartenausschnitt durch Zeichen eines Rechtecks mit der Maus definieren.
538§Kartenränder ändern|Kartenbegrenzung durch Eingabe der Koordinaten ändern.
539§Keine Slip Lines|Slip Lines löschen.
540§Farbe des Graphen|Wählen Sie die Farbe für ddie Chi-Quadrat-Kurve.
541§Rf/Phi drucken|Die Rf/Phi-Grafik wird gedruckt.
542§Chi² drucken|Die Chi-Quadrat/Rs Grafik wird gedruckt.
543§Ergebnisse drucken|Die Daten und eine Liste der errechneten Parameter wird gedruckt.
544§Diagramm ausschneiden|Diagramm ausschneiden und vergrößern.
545§Wertanzeige löschen.
546§kein Pitch|Striemung wird mit Azimut und Fallwinkel eingegeben.
547§Pitchwinkel im Uhrzeigersinn|Die Striemung wird mit einem Winkel im Uhrzeigersinn zwischen einer horizontalen Linie und der Striemung angegeben.
548§Pitchwinkel gegen den Uhrzeigersinn|Die Striemung wird mit einem Winkel gegen den Uhrzeigersinn zwischen einer horizontalen Linie und der Striemung angegeben.
549§Einzeldaten|Rotationsachse und -winkel nach jeder Eingabe ändern.
550§mehrere Daten|Rotationsachse und -winkel für mehrere Daten festlegen.
551§Pitchwinkel aus Linear|Berechnung des Pitchwinkels eines Linears auf einer Fläche
552§Linear aus Pitchwinkel|Berechnung von Fallazimut und Fallwinkel eines Linears auf einer Fläche aus dem Pitchwinkel
553§Daten aus RF/Phi-Datei|Lange und kurze Achsen und Winkel der langen Achse gegen die Horizontale sind in einer Datei gespeichert.
554§konventionelle Fry-Methode|Die Abstände der Punkte werden nicht normiert
555§normierte Fry-Methode| Die Abstände der Punkte werden normiert
556§Punktgröße|Größe der Punkte in Pixel
557§konstruierte Ellipse transparent|Fläche der konstruierten Ellipse farblos darstellen.
558§Farbfüllung der konstruierten Ellipse|Farbe für Füllung der konstruierten Ellipse auswählen.
559§Ellipse löschen|Ellipse löschen und neu zeichnen.
560§lange Achse|Die lange Achse der Ellipse durch Ziehen verändern.
561§kurze Achse|Die kurze Achse der Ellipse durch Ziehen verändern.
562§Ellipse drehen|Ellipse im Uhrzeigersinn oder gegen den Uhrzeiger drehen.
563§Größe der Ellipse|Die Größe der Ellipse durch Ziehen verändern.
564§Fry-Plot als *.bmp speichern|Den Fry-Plot in einer Bitmap-Datei speichern.
565§Fry-Plot als *.jpg speichern|Den Fry-Plot in einer JPG-Datei speichern.
566§d/phi-Diagramm als *.bmp speichern|Das d'/phi'-Diagramm in einer BMP-Datei speichern.
567§d/phi-Diagramm als *.jpg speichern|Das d'/phi'-Diagramm in einer JPG-Datei speichern.
568§Fry-Plot drucken|Den Fry-Plot drucken.
569§d/Phi drucken|Das d'/phi'-Diagramm drucken.
570§Projektionsmethode|Mit diesen Daten zur Projektions-Methode (nach Panozzo) springen.
571§Bildgröße des Fry-Diagrammes|Anzahl der Pixel für die Speicherung des Fry-Diagrammes ändern.
572§Bildgröße des d-Theta-Diagrammes|Anzahl der Pixel für die Speicherung des d-Theta-Diagrammes ändern.
573§Bildgröße des R-Diagrammes|Anzahl der Pixel für die Speicherung des R-Diagrammes.
574§Bildgröße des Mohr-Diagrammes|Anzahl der Pixel für die Speicherung des Mohr-Diagrammes.
575§Kopieren des R-Diagrammes|R-Diagramm in die Zwischenablage kopieren.
576§Kopieren des Mohr-Diagrammes|Mohr-Diagramm in die Zwischenablage kopieren.
577§Ausschneiden des R-Diagrammes|R-Diagramm ausschneiden und in die Zwischenablage kopieren.
578§Ausschneiden des Mohr-Diagrammes|Mohr-Diagramm ausschneiden und in die Zwischenablage kopieren.
579§R-Diagramm speichern|Speichern des R-Diagrammes.
580§Mohr-Diagramm speichern|Speichern des Mohr-Diagrammes.
581§R-Diagramm drucken|Drucken des R-Diagrammes.
582§Mohr-Diagramm drucken|Drucken des Mohr-Diagrammes.
583§Bildgroesse des Diagrammes|Anzahl der Pixel für die Speicherung des Diagrammes als *.BMP.
584§Hintergrund transparent|Hintergrund voll transparent zeichnen
585§Hintergrund farbig|Farbe für den Hintergrund wählen
586§als *.BMP speichern|Grafik als Bitmap speichern
587§als *.GIF speichern|Grafik im Graphic-Interchange-Format speichern
588§als *.TIF speichern|Grafik im Tagged-Image-File-Format speichern
589§als *.JPG speichern|Grafik im JPEG-Format speichern
590§als *.WMF speichern|Grafik als Windows-Metafile speichern
591§als *.EMF speichern|Grafik als Enhanced Metafile speichern
592§Numerierung|Symbole durchnumerieren.
593§Keine Numerierung|Numerierung der Symbole löschen.
594§Konstruierte Ellipse löschen|Dei konstruierte Ellipse loeschen
595§Umrissfarbe der errechneten Ellipse|Die Farbe des Umrisses der errechneten Ellipse wählen.
596§Errechnete Ellipse transparent|Die Fläche der errechneten Ellipse transparent machen.
597§Füllfarbe der errechneten Ellipse|Die errechnete Ellipse mit Farbe füllen.
598§Errechnete Ellipse löschen|Die errechnete Ellipse löschen.
599§Beschriftung des Fry-Plots|Den Dateinamen in den Fry-plot eintragen.
600§Fry-Plot als *.gif speichern|Den Fry-Plot in einer GIF-Datei abspeichern.
601§Fry-Plot als *.tif speichern|Den Fry-Plot in einer TIF-Datei abspeichern.
602§Fry-Plot als *.wmf speichern|Den Fry-Plot in einer WMF-Datei abspeichern.
603§Fry-Plot als *.emf speichern|Den Fry-Plot in einer EMF-Datei abspeichern.
604§Beschriftung des d/alpha-Plots|Den Dateinamen in das d/alpha-Diagramm eintragen.
605§D/alpha-Plot als *.gif speichern|Das D/alpha-Diagramm in einer GIF-Datei speichern.
606§D/alpha-Plot als *.tif speichern|Das D/alpha-Diagramm in einer TIF-Datei speichern.
607§D/alpha-Plot als *.wmf speichern|Das D/alpha-Diagramm in einer WMF-Datei speichern.
608§D/alpha-Plot als *.emf speichern|Das D/alpha-Diagramm in einer EMF-Datei speichern.
609§Dreieck als BMP|Dreieck-Diagramm als *.bmp-Datei speichern.
610§Dreieck als GIF|Dreieck-Diagramm als *.gif-Datei speichern.
611§Dreieck als TIF|Dreieck-Diagramm als *.tif-Datei speichern.
612§Dreieck als JPG|Dreieck-Diagramm als *.jpg-Datei speichern.
613§Dreieck als WMF|Dreieck-Diagramm als *.wmf-Datei speichern.
614§Dreieck als EMF|Dreieck-Diagramm als *.emf-Datei speichern.
615§Mohr-Diagramm als BMP|Mohr-Diagramm als *.bmp-Datei speichern.
616§Mohr-Diagramm als GIF|Mohr-Diagramm als *.gif-Datei speichern.
617§Mohr-Diagramm als TIF|Mohr-Diagramm als *.tif-Datei speichern.
618§Mohr-Diagramm als JPG|Mohr-Diagramm als *.jpg-Datei speichern.
619§Mohr-Diagramm als WMF|Mohr-Diagramm als *.wmf-Datei speichern.
620§Mohr-Diagramm als EMF|Mohr-Diagramm als *.emf-Datei speichern.
621§BMP holen|Bild aus einer BMP-Datei holen.
622§GIF holen|Bild aus einer GIF-Datei holen.
623§TIF holen|Bild aus einer TIF-Datei holen.
624§JPG holen|Bild aus einer JPG-Datei holen.
625§WMF holen|Bild aus einer WMF-Datei holen.
626§EMF holen|Bild aus einer EMF-Datei holen.
627§Größe der Bid-Datei|Zahl der Pixel ändern.
628§Fläche: Streichen aus Azimut|Fläche: Umrechnung von Azimut/Fallwinkel in Streichen/Fallen/Richtung
629§Fläche: Azimut aus Streichen|Fläche: Umrechnung von Streichen/Fallen/Richtung in Azimut/Fallwinkel
630§Linear: Streichen aus Azimut|Linear: Umrechnung von Azimut/Fallwinkel in Streichen/Fallen/Richtung
631§Linear: Fläche: Azimut aus Streichen|Linear: Fläche: Umrechnung von Streichen/Fallen/Richtung in Azimut/Fallwinkel
632§Spannung|Mohrschen Kreis für Spannung berechnen.
633§Deformation|Mohrschen Kreis für finite Deformation berechnen.
634§Achsen|Mohrschen Kreis aus den Achsen des Deformations-Ellipsoides berechnen.
635§Elongation|Mohrschen Kreis aus Elongationen berechnen.
636§Größe der Punkte|Größe der Punkte in Pixel festlegen.
637§Farbe des Kreise|Farbe des Mohrschen Kreises festlegen.
638§Füllung|Farbe der Füllung des Mohrschen Kreises festlegen.
639§Skalarprodukt-Methode, Stufen mit Isolinien|Abgestufte Konturen mit der Skalarprodukt-Methode konstruieren und Polylinien zeichnen.
640§Ende

